Title,Content,Ingredients,Recipe Yield,Direction
Cuszkusz magvakkal,"Ezek a gombák lehetnek postai étrendben is fogyasztva, de édesítve is, reszelt sajttal vagy tejszínnel.","150 gramm kuszkusz
300 ml víz
2 evőkanál kukoricacsíra vagy olívaolaj
2 zöldhagyma
1 teáskanál kömény
egy kis curry
egy marék szárított szilva
két maréknyi nyers mogyoró és dió
1 piros paprika
1 ág petrezselyem
néhány szárított mentalevél
1 csípős paprika
só és bors","Nan

Nincs","Egy edényben melegítsünk fel két evőkanál olajat, adjuk hozzá a vágott hagymát és a szeletelt paprikát, majd fűszerezzük őrölt köménnyel és curry-val. Amikor a zöldségek megpuhultak, öntsünk vizet és hagyjuk, amíg forrni kezd. Azonnal adjuk hozzá a kuszkuszt és a mag- és szárított szilvamixet. Fedjük le egy fedővel, és hagyjuk, amíg a kuszkusz fel nem szívja az összes vizet. Adjuk hozzá a fél citrom leve, a szárított és apróra vágott csípős paprikát, a szárított és apróra vágott mentát és a finomra vágott petrezselymet. Végül ízesítsük sóval és borssal ízlés szerint, és keverjük össze. Tálaljuk egyszerűen, vagy ahogy korábban említettük, valamilyen körettel. Jó étvágyat kívánok!"
Posta Tocanita,"Szeretik a húsvári szarmalékat egy keleties ízvilággal? Ha igen, próbálják ki ezt a receptet, és biztosan nem fogják megbánni, hogy nagyszerűek lettek (ez csak a véleményem, mivel a férjem csak hússal készült szarmalékat eszik).","2 nagy sárgarépa
2 paprika
6 gomba
4 krumpli
1 tök
tészta
1 padlizsán
só
bors
leveskocka","Lehet együtt fogyasztani csirkemellel, ha nem kötelező böjti napra.","A paradicsom, a hagyma, a paprika és a gombák apróra vágva pirítva. Adjunk hozzá vizet és más zöldségeket. Miután pár percig főztük (amíg megpuhulnak), tegyük be a sütőbe a levessel, amíg elpárolgott."
Fazék bab,"Nan

Nan","500 gramm bab
1 sárgarépa
2-3 zöld hagyma
csirke
petrezselyemgyökér
erőspaprika leves
2-3 evőkanál olívaolaj
házi készítésű zöldség
házi készítésű szilvalé
só
petrezselyemzöld","Nan

Nincs","A borsót jól megmostuk több meleg vízben, majd egy lábasba tettük és annyi vizet öntöttünk hozzá, amennyivel elleptük. Körülbelül 30 percig főztük, majd leöntöttük a vizet, jól megmostuk, és újra vizet öntöttünk rá. Közben megtisztítottuk, megmostuk, és felkockáztuk a zöldségeket, és megpirítottuk őket. Amikor a borsó majdnem kész volt, hozzáadtuk a megpirított zöldségeket és az olajat. Miután a borsó és a zöldségek jól megfőttek, sót, paprikakrémet, zöldségeket és szilvalevet ízlés szerint adtunk hozzá. Egy kis forralást követően elvettük a tűzről, és apróra vágott petrezselymet tettünk rá. Jó étvágyat!"
A Bagleh arab receptje a zöldborsó ételére,"Ahogy mondtam, én böjtölök, és a család többi tagja is, így színesítjük az étkezést, nem mondom, hogy néhányan különlegesebb igényekkel rendelkeznek. Így vacsorára ezt a zöldséges tortát készítettem, saját recept alapján, valahogy...","750 g lencse
2 közepes méretű, főtt és hámozott paradicsom
1 közepes méretű apróra vágott hagyma
4 evőkanál olívaolaj
só ízlés szerint
frissen őrölt bors ízlés szerint","Nan

Nincs","A zöldségeket jól meg kell mosni és azonnal le kell vágni a szárakat az utolsó levelek után; a felső részt meg kell őrizni. Jól ki kell önteni, majd apróra kell vágni a megőrzött szár részekkel együtt. A paradicsomokat apróra kell vágni. Olívaolajat kell felhevíteni egy antiaderent edényben, és a vöröshagymát arany színűre kell pirítani. Hozzá kell adni a vágott zöldségeket, a paradicsomokat; sóval és borssal kell ízesíteni. Közepes lángon 15 percig kell főzni. Forrón kell fogyasztani, rizzsel, sült májjal vagy egyszerűen csak arab kenyérrel főételként. Nagyon ízletes és savanyú. Érdemes megjegyezni, hogy ne tegyünk túl sok paradicsomot, mivel nem akarunk túl savanyú salátát készíteni. Van olyan változat, amikor az utolsó forrásnál, fél csésze főtt rizst (sós vízben és olajban 20 percig) kell hozzáadni, pontosan azért, hogy ne legyen túl savanyú a saláta. Jó étvágyat!"
Zöldséges pilaf szafrannal,Kiváló!,"1 kanál rizs
4 pohár víz
200 g mexikói zöldségkeverék
1 hagyma
1 csipet sáfrány
só és bors","Nan

Nem","A hagyma megpirításához adja hozzá a fagyasztott zöldségkeveréket, és hagyja kicsit megpuhulni. A sáfrányt egy pohár meleg vízben oldja fel, és adjon hozzá a zöldségkeverékhez. Adja hozzá az öblített rizst, és a három pohár vizet, és alacsony hőfokon főzze, fedje le a lábos fedelét, és főzze, néha keverve, amíg a víz elpárolog. Ízesítse sóval és borssal ízlés szerint."
Fűszeres sült krumpli a halogén sütőben,"Szeretem a tököket, és próbálom meg a lehető legtöbb receptet.","Krumpli
Só
Fűszerek (Kotanyi olasz zöldfűszerek)
Olívaolaj (egy evőkanál)","Nan

Nincs","A krumplik megtisztítják a héjától, megmosják és nagyobb darabokra vágják. Félbe főzik sós vízben, majd lecsepegtetik és egy halogén sütőbe illő tálba helyezik. Olívaolajjal megkenik és ízlés szerint fűszerezik. Én Kotanyi olasz fűszernövényeket használtam. A halogén sütőben 25 percig, 180 fokon sütik. Finomak! Valami a ropogós krumpli és a sült krumpli között ;)"
Zöldbabfőzelék,"Nan

Nincs","egy répa
egy szép piros paprika
paradicsom szósz
egy bögre bab
só/ fűszerkeverék
kapor, petrezselyem","Nan

Nincs","A hagyma, a sárgarépa és a paprika megtisztításra kerül, apróra vágva, sóval/delikát-tal megszórva, és kevés olajban megpárolva, egy csésze vízzel. Hozzáadunk egy konzerve paradicsomot, egy másik csésze vízzel. Amikor újra forrni kezd, hozzáadjuk a főtt babot, és főzzük. Készítünk egy kis petrezselymet és zöld kaporral."
Töltött paprikák cuscuszal,"Satioas és ízletes, vegán kolbászkák fekete borssal.","4 színes (piros, sárga, narancs) paprika
1 kis hagyma, apróra vágva
1 teáskanál erős paprika, só, frissen őrölt fekete bors
2/3 csésze kuszkusz
2/3 csésze víz
4 evőkanál extra szűz olívaolaj
2-3 evőkanál nagy fekete mazsola
2 teáskanál kurkuma
2 evőkanál friss mentalevél
1 tojássárgája, friss mentalevél díszítésre","Nan

Nincs","A sütőt 200 °C-ra melegítsük fel. Vágjunk alulról egy kettévágást a paprikákba, a faroktól a felső rész közepéig (a farokokat hagyjuk érintetlenül). Távolítsuk el a magokat és a szárat. Forraljuk fel a vizet, és adjuk hozzá a kuszkust, egy evőkanál olajjal, sóval és borssal. Jól keverjük össze, és hagyjuk ázni a kuszkust 5 percig. Közben, tegyünk két evőkanál olajt egy serpenyőbe. Adjuk hozzá a hagymát, a szőlőágyat, a curryt és a csípős paprikakrémet, sózzuk, borsozzuk, és főzzük alacsony lángon 3-4 percig, amíg a hagyma átlátszóvá válik. Adjuk hozzá a hagymás keveréket a kuszkushoz, együtt a vágott mentával, és jól keverjük össze. Adjuk hozzá a tojássárgáját, és keverjük össze. Ízesítsük sóval és borssal. Töltsük meg a paprikákat a kuszkusz keverékkel, kb. háromnegyedig. Helyezzük a paprikákat egy olajjal kikent sütőformába, és süssük kb. 20 percig, amíg ropogósak. Díszítsük friss mentalevelekkel, és tálaljuk."
Kurkumaás krumpli,"Mamaieelena, köszönöm az inspirációt! Valóban finom mártás, amely helyettesíti a hagyományos mujdeit a családunkban. Egy koleszterinmentes mujdei:)","2 evőkanál rizsolaj
1 nagyobb vöröshagyma, nagyobb kockákra vágva
4 gerezd fokhagyma, nagyobb kockákra vágva
1-2 csípős paprika, nagyobb kockákra vágva
2-3 cm friss gyömbér, nagyobb kockákra vágva
3-4 teáskanál curry keverék
só
frissen őrölt bors
4 krumpli, megtisztítva és szeletekre vágva (összesen kb. 600 g)
1 doboz kockázott paradicsom, kb. 400 g
2 evőkanál paradicsompüré
1 teáskanál cukor
víz, amennyire szükséges
néhány friss petrezselyemzöld, apróra vágva","Nan

Nincs","A hagyma, a csípős paprika, a gyömbér és a fokhagyma kevés sóval összetört, egységes péppé dolgozva. Egy nagy serpenyőbe olajat melegítünk. Hozzáadjuk a hagymamixet, a curryt, a sót és a borsot. Jól keverjük össze, és közepes lángon 2 percig főzzük. Hozzáadjuk a krumplit, jól összekeverjük, sózzuk és 1-2 percig főzzük, majd csökkentjük a lángot és fedőt rakunk a serpenyőre. A krumplit 4-5 percig főzzük, időnként kevergetve. Hozzáadjuk a paradicsomot, a paradicsompürét, a cukrot és annyi vizet, amennyi ellepi a krumplit. Főzzük a krumplit 5-8 percig, vagy amíg megpuhul. Ízesítsük sóval és borssal, és szórjuk meg aprított petrezselyemmel. Tálaljuk petrezselyemzölddel díszítve."
Vegan szójaszósszal töltött burgonya majonézzel,"Nan

Nincs","2 sárgarépa, vágott kis darabokra
3 krumpli, megtisztítva és vágott kis darabokra
só
frissen őrölt fekete bors
1 evőkanál édes paprika
1 teáskanál csípős paprika
2 teáskanál szárított kakukkfű
2 evőkanál liszt vagy keményítő
fél pohár víz
1 teáskanál mustár
rizs olaj, amennyit szükséges
2 gerezd fokhagyma, összetörve
savanyú uborka, apróra vágva
2-3 evőkanál citromlé
1 piros hagyma, karikákra vágva
2 evőkanál friss petrezselyem, apróra vágva","Nan

Nincs","Keverjük össze a hagymát sóval, borssal, 2 evőkanál olajjal, 1 teáskanál majoránnával és 1 evőkanál citromlével. Hagyjuk állni, míg a többi hozzávaló elkészül. Főzzük meg a burgonyát és a sárgarépát 3-4 percig sós vízben. Jól szűrjük le. Hagyjuk 5 percig hűlni. Melegítsük elő a sütőt 200 °C-ra. Helyezzük a burgonyát és a sárgarépát egy tepsire, szórjuk meg sóval, borssal, édes és csípős paprikával. Permetezzük 1-2 evőkanál olajjal és jól keverjük át kézzel. Helyezzük a tepsit a sütőbe és süssük a gyökérzöldségeket 5-10 percig, amíg megpuhulnak és szép pirosra sülnek. Közben keverjük össze a 2 evőkanál lisztet egy kevés hideg vízzel, majd egy lábasban alacsony lángon főzzük, míg jól összekeveredik. Fokozatosan öntsük hozzá a maradék vizet, folyamatosan kevergetve egy habverővel. Forraljuk fel lassan, és főzzük 1 percig, időről időre kevergetve, míg a keverék meg nem sűrűsödik. Hagyjuk hűlni, és ha kihűlt, kezdjük el a habverő segítségével cseppenként adagolni az olajat. Ízesítsük sóval, mustárral és citromlével, majd jól keverjük össze reszelt fokhagymával és apróra vágott uborkával. Vegyük ki a zöldségeket, és szórjuk meg friss petrezselyemmel. Jól keverjük össze. Tálaljuk friss hagymasalátával és diétás majonézzel."
Szójababot sült krumplival sütőben,"Repede, repede, készítsünk ételt, még a böjti időszakban is. Szerintem jól megoldottam.","-1 csésze szójaszósz a schnitzelhez
-só, bors
-csípős fűszer
-oregánó
-rozmaring
-bazsalikom
-pankó
-2 evőkanál liszt
-krumpli
-édes paprika
-bors, só
-olívaolaj
-rozmaring","Nan

Nan","A szójababot forró sós vízben, csípős bors, oregano, rozmaring és bazsalikom keverékével kell főzni. Főzzük 30 percig, majd szűrjük le. Egy tányérba tegyünk egy keveréket pankóból és lisztből, borsból, sóból, oreganóból. Miután alaposan eltávolítottuk a vizet, a szóját lisztbe kell forgatni, és forró olajban kell sütni. Miután mindkét oldalán megsült, távolítsuk el egy papírtörlőre. A ropogós krumplik A megtisztított és megmosott krumplikat vágjuk fel, és tegyük egy edénybe. Készítsünk egy keveréket sóból, borsból, rozmaringból és paprikából, majd tegyük a krumplikra. Permetezzük olajjal, jól keverjük össze. Tegyünk egy sütőtányérra sütőpapírt, majd a krumplikat és tegyük a sütőbe, amíg meg nem barnulnak."
Csípős burgonya,"Nan

Nincs","4 nagy krumpli
1/2 fej fokhagyma
1 evőkanál szezámmag
1 teáskanál piros paprika
1 kávéskanál olaj
50 ml olaj",A mennyiségeket személyes preferenciák alapján állíthatják be.,"A burgonyákat megtisztítjuk, megfelelő nagyságú kockákra vágjuk és sós vízben főzni kezdjük. Félbe főzzük, csak annyira, hogy megpuhuljon. Leöntjük az vizet és egy tálba tesszük. A fokhagymát kevés sóval összeturmixoljuk. Fokozatosan hozzáadjuk az olajat, mintha mujdei-t készítenénk. Hozzáadjuk a piros paprikát és a szezámmagot. A kapott keveréket a burgonyához öntjük, összekeverjük és egy kis sütőformába tesszük. A formát közepes lángon sütjük, amíg a burgonyák megpirulnak."
Pilaf gombával és paradicsomos mártással ~ Recept száma 100~,"Ez egyik saláta, ami nagyszerűen illik a halhoz!","400 gramm rizs,
1 doboz aprított gomba,
6 evőkanál paradicsomoszósz,
1/2 aprított piros paprika kis kockákra vágva,
2 aprított sárgarépa,
1 aprított vöröshagyma,
1 babérlevél,
3-4 borsmag,
1 teáskanál édes paprika,
oregánó,
kakukkfű,
1 kocka zöldségkoncentrátum,
petrezselyemzöld,
3 evőkanál olaj,
só.","Nan

Nincs","Egy serpenyőben felforrósítottam az olajat, majd hozzáadtam a répát és a hagymát (együtt aprítottam). Hozzáadtam még 2-3 evőkanál vizet, és közepes lángon pároltam. Külön egy tálban megfőztem a rizst (nem a tűzhelyen), és leöntöttem vízzel. A répa és hagyma tetejére tettem a paprikát, a konzerv hús- vagy zöldséglevet, a babérlevelet, a borsot, az oreganót, a köményt és a borsikafüvet. 5-6 perc múlva hozzáadtam a gombákat (így hagytam őket, néhány nagyobb, másik kisebb). Hozzáadtam még 2 pohár vizet, és további 10 percig főztem. A rizst leöntöttem a felesleges vízről, és a zöldségekre tettem. Hozzáadtam még egy pohár vizet, és folyamatosan kevertem, hogy ne ragadjon össze. Amikor a rizs majdnem kész volt, hozzáadtam a paradicsomot, és ízesítettem sóval. 5 perc múlva hozzáadtam a kapor apróra vágott darabjait, és kikapcsoltam a tűzhelyet. Jó étvágyat!"
"A rabszolga reggeli -3. ""Falafel"" - Nagybab és babos bableves - vegetáriánus.",Üdvözöljük a mindenkori étkezést! >:D:D:D,"1 szárított nád mag cana 
1/2 cana szárított szívós bab 
1 közepes vöröshagyma 
3 gerezd fokhagyma 
2 evőkanál liszt 
2 evőkanál friss petrezselyemzöld 
2 evőkanál friss korianderzöld (vagy egy teáskanál őrölt koriander) 
1 teáskanál só (vagy ízlés szerint) 
1/4 teáskanál frissen őrölt bors 
3/4 teáskanál őrölt kömény 
2 teáskanál szezámmag 
1 evőkanál szódabikarbóna 
olaj sütéshez","Nan

Nincs","A bab és bób (főtt bab) elázik hideg vízben egy napig. A vizet leöntik, és a húsdarálóba teszik. Egy tálba teszik. A hagyma, fokhagyma, petrezselyem és koriander a blenderben összekeverik; hozzáadják a bab és bób tésztához, valamint a többi hozzávalóhoz. Ha a tészta túl száraz, néhány csepp vizet adhat hozzá. A tésztát hűtőszekrénybe teszik 30 percre. Ezekből a tésztából készítenek köreteket, amelyek forró olajban aranybarnára sülnek, kb. 3-4 percig. A köreteket speciális kanállal is készíthetik, amelyet a konyhai eszközök boltjában megvásárolhatnak. Pita kenyérrel, humuszal, szezámmártással (tahini) tálalják."
Sült csípős és ízes burgonya,"Drágáim, ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ajándékom egy kis szárított mángold receptjét. Marokkóban élveztem a nagymamám által készített finomságot, és elárulom nektek a titkát. Egyszerűen elkészíthető, és még finomabb is.","1 kg krumpli
csípős paprika
bors
bazsalikom
szerecsendió
hagyma mustár
3 evőkanál olaj
só","Nan

Nincs","Megmosom és megtisztítom a burgonyát, majd kockákra vágom. Készítünk egy szószt, amivel meglocsoljuk őket: keverjünk egy teáskanál mustárt a csípős répával, paprikával, sóval, borssal, szerecsendióval, olajjal, és tegyük a burgonyákat ebbe a szószba. Kiolajozunk egy hőálló tálat, betesszük a sütőbe, amíg az olaj felmelegszik, majd beletesszük a burgonyákat, és süssük, amíg a burgonya megpuhul (megtudjuk, hogy megpuhult, ha egy villával könnyedén belenyomunk). Tálalásként kínáljuk húsételek mellé, vagy akár magában is, vegetáriánusoknak."
Posta szarmálé,"Az ételt leginkább ebédre ajánljuk, de ha húsételekkel kombinálják, akkor előételként is fogyasztható.","200 gramm rizs
400 gramm gomba
2 hagyma
1 kis csokor petrezselyem
1 kis csokor petrezselyem
1 kis csokor kapor
1 répa
1 vastagabb sárgarépa szelet
olaj
só, bors
vegán fűszerkeverék
tésztához való liszt","Nan

Nincs","A gombákat meg kell mosni, apróra vágni. A hagyma, petrezselyem, kapor is ugyanígy. A répa és a zeller apróra reszelve. Egy lábasba egy kis olajat kell felmelegíteni, majd beletenni a gombákat. Hagyjuk a tűzön, amíg elpárolog az általuk feloldott víz. Amikor elpárolog, adjuk hozzá a hagymát, pirítsuk egy kicsit, majd töltsük fel a többi zöldséggel és öntsünk bele 400 ml vizet. (ha egy bögrényi rizst teszünk, akkor kettő bögrényi víz) Amikor felforr, ízesítsük, tegyük bele a rizst, és vessük le a tűzről. Hagyjuk, hogy a rizs felpuhuljon. Miután a rizs kész, forgassuk meg a szarmalét."
Bors de loboda magyarul,"Ezek a gombák olyan jók, és nagyon gyorsan elkészülnek :D","2 burgonya (vagy rizs)
6 szál zöldhagyma
6 szál fokhagyma
só,
olaj
1 l bors
petrezselyem","Nan

Nincs","A kis kockára vágott hagymát kevés vízzel és olajjal pároljuk, majd sorban hozzáadjuk az összes többi hozzávalót és jól összekeverjük. Az előzőleg kevés olajjal kikent tepsibe tesszük a keveréket és 45 percig előmelegített sütőben sütjük. Kedvenc szószunkkal, salátával vagy friss zöldségekkel kínáljuk."
"Drob de linte

Drob de linte (magyarul: lencsefőzelék) egy közkedvelt magyar étel, amelyet elsősorban hússal és zöldségekkel készítenek. A drob de linte általában különböző húsokból, zöldségekből és fűszerekből készül, amelyeket egy nagy lábosban főznek. A drob de linte egy különleges étel, amelyet sok magyar család készít és fogyaszt.","Ma ma draga, ma ma adtam ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma Kedvesek, ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma","2 csésze főtt lencse
1 csésze zsemlemorzsa
1/2 csésze őrölt dió
1-1 1/2 csésze paradicsomlé
1 teáskanál kakukkfű
1 teáskanál só vagy fűszerkeverék
1 evőkanál napraforgómag
1/2 csésze búzadara
2 evőkanál olaj
2 vöröshagyma","Nan

Nan","1.A megtisztított és megmosott krumplikat kis kockákra vágjuk, majd forraljuk meleg vízben; kb. negyed óra múlva, amikor már megpuhultak, a leveshez adjuk a finomra vágott hagymát, a finomra vágott fokhagymát és a szeletekre vágott káposztát.
2. Főzzük további 20 percig, és ízesítsük sóval és külön főzött borssal ízlés szerint.
3. Végül tegyünk egy evőkanál olajat és finomra vágott petrezselymet, és vegyük le a tűzhelyről. Ízlés szerint tegyünk tejszínnel a tányérba."
Humusz recept,"Nan

Nincs","400 g konzerv nyers lencséből, lecsöpögtetve
2 piros paradicsom
2 zöld hagyma
olívaolaj
citromlé
fűszerpaprika
pirított kifli szeletek","Nan

Nem","A paradicsomokat és a zöld hagymát apróra vágtam, a nyers növényi húst pedig egy kicsit összeturmixoltam a konyhai robotgéppel, de nem akartam egy finom pürét kapni (mikro darabokra akartam vágni a növényi húst a szövethez). Az így kapott pürét összekevertem a paradicsommal, a hagymával, a citromlével (ízlés szerint) és az olívaolajjal. Megsóztam és borsosra ízesítettem a humust, majd kisütött bagett szeletekkel ettem."
Száraz bableves,"Valami finom, diétás és laktató!","600 gr száraz fehér bab
3 megfelelő répa
150 gr friss petrezselyem
150 friss petrezselyem
egy szál póréhagyma
1 vöröshagyma
só
bors
3 levelek fahéj
zöld petrezselyem
kakukkfű
150 ml paradicsomlé
100 ml olaj","Nan

Nincs","A borsót forró vízzel alaposan meg kell mosni. Közben meg kell tisztítani a zöldségeket, és nagyobb méretűre kell vágni. Egy nyomástartó edénybe tesszük a borsót a zöldségekkel, 2 evőkanál olajjal és sóval. 45 percig tűzre teszem. Amikor majdnem kész, egy másik edénybe teszek még olajat, borsot, paradicsomszószt, füstölőlevéllel és kakukkfűvel. Amikor minden forr, akkor átöntöm a borsót a szósszal együtt, és még 5 percig főzöm. Friss petrezselyemmel tálalom. Jó étvágyat!"
Postaételek,"Egy napon annyira finom illata volt a nagynéniem konyhájában a töltött paradicsomoknak, hogy megkértem, hogy adja el nekem a receptjét. Kicsit megváltoztattam!","2 nagy sárgarépa
4 megfelelő hagyma
6 megfelelő krumpli
1 kis piros paprika
Só
2 evőkanál CIRIO paradicsompüré
50 ml napraforgó olaj","2) Köretként mángoldot, vagy savanyúságot is tálalhatunk mellé, ha nem tartunk nagyböjtöt, akkor egy sült hús is jól illik hozzá, de nem akarok reklámot csinálni a CIRIO-nak, nekem tényleg tetszenek a termékeik.","Julien {vagy fideluta} hagymát vágtam és forró olajban pirítottam egy lábasban kb. 5 percig. Hozzáadtam a karikára vágott sárgarépát, és forró vízzel elleptük körül kb. 2 ujjnyira. Miután a sárgarépa félig megpuhult, hozzáadtam a kockára vágott krumplit és a paprikát. Jól megfőztem, majd a végén hozzáadtam a paradicsom pasztát, és még két percig főztem, és kész is."
